Type;AssetCodeISIN;DeclarationDate;ExDate;CashAmount;Period;PaymentDate;Notes;Hash
RENDIMENTO;BRHCRACTF003;2022-06-07;2022-06-09;1.06000000000;maio/2022;2022-06-14;;3352948873425858375
RENDIMENTO;BRHCRAR01M10;2022-06-07;2022-06-09;1.05000000000;maio/2022;2022-06-14;;18294405226592595925
RENDIMENTO;BRHCRACTF011;2022-05-06;2022-05-06;0.65000000000;Abril/2022;2022-05-13;;9367484337447751688
RENDIMENTO;BRBTAGCTF003;2022-05-31;2022-05-31;1.20000000000;MAIO/2022;2022-06-14;;6808578224875268019
RENDIMENTO;BRBTAGCTF003;2022-04-29;2022-04-29;0.99000000000;abril/2022;2022-05-13;;14309525763326506816
RENDIMENTO;BRBTAGCTF003;2022-03-31;2022-03-31;0.75000000000;março/2022;2022-04-14;;7507654488024323747
AMORTIZACAO RF;BRBBVHCTF005;2022-04-19;2022-04-25;123.00000000000;Abril/2022;2022-04-29;;1085087353951859872
RENDIMENTO;BRBBVHCTF005;2021-12-16;2021-12-27;81.00000000000;2º semestre/2021;2022-01-04;;13991096675156548379
AMORTIZACAO RF;BRBBVHCTF005;2021-08-25;2021-08-30;98.00000000000;AGO/2020/2020;2021-09-06;;14290627435638691045
RENDIMENTO;BRBBVHCTF005;2021-07-01;2021-07-06;25.00000000000;1º semestre 2021/2021;2021-07-14;;11735191439408520974
RENDIMENTO;BRITITCTF004;2022-05-31;2022-05-31;0.54000000000;Maio/2022;2022-06-14;;14410350572151319658
RENDIMENTO;BRITITCTF004;2022-04-29;2022-04-29;0.56000000000;Abril/2022;2022-05-13;;9421589047926022359
RENDIMENTO;BRITITCTF004;2022-03-31;2022-03-31;0.55000000000;Março/2022;2022-04-14;;920649041309261498
RENDIMENTO;BRITITCTF004;2022-02-25;2022-02-25;0.55000000000;Fevereiro/2022;2022-03-15;;13393140164002419618
RENDIMENTO;BRITITCTF004;2022-01-31;2022-01-31;0.53000000000;Janeiro/2022;2022-02-14;;6948642616544949522
RENDIMENTO;BRLAVFCTF000;2022-05-05;2022-05-05;1.30000000000;ABRIL/2022/2022;2022-05-13;;10165802842955345435
RENDIMENTO;BRLAVFCTF000;2022-04-06;2022-04-06;3.38000000000;MARÇO/2022/2022;2022-04-14;;17160052407297972019
RENDIMENTO;BRLAVFCTF000;2022-03-07;2022-03-07;1.98000000000;FEVEREIRO/2022/2022;2022-03-15;;16692172573647639636
RENDIMENTO;BRLAVFCTF000;2022-02-04;2022-02-04;3.92000000000;JANEIRO/2022/2022;2022-02-14;;14853118708264899888
RENDIMENTO;BRAFHICTF005;2022-06-14;2022-06-14;1.40000000000;Maio/2022;2022-06-22;;5704780926279115887
RENDIMENTO;BRAFHIR02M17;2022-06-14;2022-06-14;0.67682449300;Maio/2022;2022-06-22;;15408984728255635408
RENDIMENTO;BRAFHIR03M16;2022-06-14;2022-06-14;0.31520584800;Maio/2022;2022-06-22;;4860458716335120763
RENDIMENTO;BRAFHIR04M15;2022-06-14;2022-06-14;0.31520584800;Maio/2022;2022-06-22;;11854503970113344369
RENDIMENTO;BRAFHIR05M14;2022-06-14;2022-06-14;0.20956176200;Maio/2022;2022-06-22;;8598767067248017133
RENDIMENTO;BRAFHICTF005;2022-05-13;2022-05-13;1.35000000000;Abril/2022;2022-05-20;;6114059920312644753
RENDIMENTO;BRAFHICTF005;2022-04-14;2022-04-14;1.35000000000;Março/2022;2022-04-25;;12500392752385215419
RENDIMENTO;BRAFHICTF005;2022-03-15;2022-03-15;1.30000000000;Fevereiro/2022;2022-03-22;;3744940001011301765
RENDIMENTO;BRAFHICTF005;2022-02-14;2022-02-14;1.30000000000;Janeiro/2022;2022-02-21;;6948408649286572733
RENDIMENTO;BRAFHICTF005;2022-01-14;2022-01-14;1.30000000000;Dezembro/2021;2022-01-21;;7494025844707190609
RENDIMENTO;BRAFHICTF005;2021-12-14;2021-12-14;1.25000000000;Novembro/2021;2021-12-21;;13612963092095693730
RENDIMENTO;BRAFHICTF005;2021-11-16;2021-11-16;1.20000000000;Outubro/2021;2021-11-23;;1626045315118795496
RENDIMENTO;BRAFHICTF005;2021-10-15;2021-10-15;1.05000000000;Setembro/2021;2021-10-22;;11926733121341359690
RENDIMENTO;BRAFHICTF005;2021-09-15;2021-09-15;1.00000000000;Agosto/2021;2021-09-22;;15753179420418950534
RENDIMENTO;BRAFHICTF005;2021-08-13;2021-08-13;0.90000000000;Julho/2021;2021-08-20;;7764472529233839595
RENDIMENTO;BRAFHICTF005;2021-07-15;2021-07-15;0.90000000000;Junho/2021;2021-07-22;;18193854905981833715
RENDIMENTO;BRAFOFCTF007;2022-06-14;2022-06-14;1.07947904965;Maio/2022;2022-06-22;;14781933551210041567
RENDIMENTO;BRAFOFCTF007;2022-05-13;2022-05-13;1.13550000000;Abril/2022;2022-05-20;;5048004264491037505
RENDIMENTO;BRAFOFCTF007;2022-04-14;2022-04-14;1.00576000000;Março/2022;2022-04-25;;11499632214173975867
RENDIMENTO;BRAFOFCTF007;2022-03-15;2022-03-15;0.99550000000;Fevereiro/2022;2022-03-22;;6165217267459433875
RENDIMENTO;BRAFOFCTF007;2022-02-14;2022-02-14;0.96000000000;Janeiro/2022;2022-02-21;;1880641871265147569
RENDIMENTO;BRAFOFCTF007;2022-01-14;2022-01-14;0.84000000000;Dezembro/2021;2022-01-21;;17702247783939072261
RENDIMENTO;BRAFOFCTF007;2021-12-14;2021-12-14;0.84000000000;Novembro/2021;2021-12-21;;6251000703130352860
RENDIMENTO;BRAFOFCTF007;2021-11-16;2021-11-16;0.84000000000;Outubro/2021;2021-11-23;;9971910711132690949
RENDIMENTO;BRAFOFCTF007;2021-10-15;2021-10-15;0.83700000000;Setembro/2021;2021-10-22;;1595698244341320734
RENDIMENTO;BRAFOFCTF007;2021-09-15;2021-09-15;0.67014459079;Agosto/2021;2021-09-22;;12222567820717311891
RENDIMENTO;BRAFOFCTF007;2021-08-13;2021-08-13;0.60000000000;Julho/2021;2021-08-20;;12571776583513881403
RENDIMENTO;BRAFOFCTF007;2021-07-14;2021-07-14;3.54172866920;1º Semestre 2021/2021;2021-07-21;;11758145408467407544
RENDIMENTO;BRAFOFR01M12;2021-07-07;2021-07-07;0.00131493300;Junho/2021;2021-07-15;;3454960469732906861
RENDIMENTO;BRAFOFR02M11;2021-07-07;2021-07-07;0.07421104200;Junho/2021;2021-07-15;;11627669062985760438
RENDIMENTO;BRALZRCTF006;2022-06-17;2022-06-17;0.78068170400;Maio/2022;2022-06-24;;5795571842652849549
RENDIMENTO;BRALZRCTF006;2022-05-18;2022-05-18;0.77561000000;Abril/2022;2022-05-25;;14437323375858978209
RENDIMENTO;BRALZRCTF006;2022-04-14;2022-04-14;0.77155600000;Março/2022;2022-04-25;;17523970373206403989
RENDIMENTO;BRALZRCTF006;2022-03-18;2022-03-18;0.76339786200;Fevereiro/2022;2022-03-25;;7167018056013982658
RENDIMENTO;BRALZRCTF006;2022-02-18;2022-02-18;0.72545297500;Janeiro/2022;2022-02-25;;3470551904176366451
RENDIMENTO;BRALZRCTF006;2022-01-18;2022-01-18;0.74861571600;Dezembro/2021;2022-01-25;;3219883726818764092
RENDIMENTO;BRALZRCTF006;2021-12-16;2021-12-16;0.65255380900;Novembro/2021;2021-12-23;;17373530349727130249
RENDIMENTO;BRALZRCTF006;2021-11-18;2021-11-18;0.63774229300;Outubro/2021;2021-11-25;;6145506559672645120
RENDIMENTO;BRALZRCTF006;2021-10-18;2021-10-18;0.61971418400;Setembro/2021;2021-10-25;;3787676812466653904
RENDIMENTO;BRALZRR09M19;2021-10-18;2021-10-18;0.61971418400;Setembro/2021;2021-10-25;;9867672037934513059
RENDIMENTO;BRALZRR10M16;2021-10-18;2021-10-18;0.61971418400;Setembro/2021;2021-10-25;;866040734411291604
RENDIMENTO;BRALZRCTF006;2021-09-17;2021-09-17;0.67317467400;Agosto/2021;2021-09-24;;6514013423320595103
RENDIMENTO;BRALZRR09M19;2021-09-17;2021-09-17;0.34128743900;Agosto/2021;2021-09-24;;15153058337630008921
RENDIMENTO;BRALZRR10M16;2021-09-17;2021-09-17;0.30027372600;Agosto/2021;2021-09-24;;1863577130046488582
RENDIMENTO;BRALZRCTF006;2021-08-18;2021-08-18;0.71697862900;Julho/2021;2021-08-25;;7441930066113768687
RENDIMENTO;BRALZRR07M11;2021-08-18;2021-08-18;0.42858551000;Julho/2021;2021-08-25;;8335188257425498397
RENDIMENTO;BRALZRR08M10;2021-08-18;2021-08-18;0.27370771400;Julho/2021;2021-08-25;;2928401541367804554
RENDIMENTO;BRALZRCTF006;2021-07-16;2021-07-16;0.62378825300;Junho/2021;2021-07-23;;10149527534463702202
RENDIMENTO;BRAIECCTF009;2022-05-31;2022-05-31;0.72000000000;Maio/2022;2022-06-08;;16425705466839890762
RENDIMENTO;BRAIECCTF009;2022-04-29;2022-04-29;0.72000000000;Abril/2022;2022-05-09;;16866342473846611381
RENDIMENTO;BRAIECCTF009;2022-03-31;2022-03-31;1.31000000000;Março/2022;2022-04-08;;3601679173281515175
RENDIMENTO;BRAIECCTF009;2022-02-25;2022-02-25;0.68000000000;Fevereiro/2022;2022-03-09;;9575154105695660569
RENDIMENTO;BRAIECCTF009;2022-01-31;2022-01-31;0.61000000000;janeiro/2022;2022-02-08;;4110583189916268887
RENDIMENTO;BRAIECCTF009;2021-12-30;2021-12-30;0.61000000000;dezembro/2021;2022-01-10;;7688121176486276283
RENDIMENTO;BRAIECCTF009;2021-11-30;2021-11-30;0.61000000000;Novembro/2021;2021-12-08;;11567547766422571933
RENDIMENTO;BRAIECCTF009;2021-10-29;2021-10-29;0.61000000000;Outubro/2021;2021-11-08;;7109156499638709094
RENDIMENTO;BRAIECCTF009;2021-09-30;2021-09-30;0.61000000000;Setembro/2021;2021-10-08;;14129343731151665647
RENDIMENTO;BRAIECCTF009;2021-08-31;2021-08-31;0.61000000000;agosto/2021;2021-09-09;;10249629568667147236
RENDIMENTO;BRAIECCTF009;2021-07-30;2021-07-30;0.61000000000;julho/2021;2021-08-09;;2550796562421189366
RENDIMENTO;BRAIECCTF009;2021-06-30;2021-06-30;0.57000000000;junho/2021;2021-07-08;;3703461501939788134
RENDIMENTO;BRBCRICTF009;2022-05-31;2022-05-31;1.45000000000;Maio/2022;2022-06-15;;12723606526208245476
RENDIMENTO;BRBCRICTF009;2022-04-29;2022-04-29;1.30000000000;Abril/2022;2022-05-13;;1008960211904485260
RENDIMENTO;BRBCRICTF009;2022-03-31;2022-03-31;1.35000000000;Março/2022;2022-04-14;;5029003639746930130
RENDIMENTO;BRBCRICTF009;2022-02-25;2022-02-25;1.20000000000;Fevereiro/2022;2022-03-15;;12730800274932704688
RENDIMENTO;BRBCRICTF009;2022-01-31;2022-01-31;1.25000000000;Janeiro/2022;2022-02-15;;12709320948620390913
RENDIMENTO;BRBCRICTF009;2021-12-30;2021-12-30;1.35000000000;DEZEMBRO/2021;2022-01-14;;1384033963108018207
RENDIMENTO;BRBCRICTF009;2021-11-30;2021-11-30;1.15000000000;Novembro/2021;2021-12-15;;5698888926550431071
RENDIMENTO;BRBCRICTF009;2021-10-29;2021-10-29;1.13000000000;Outubro/2021;2021-11-16;;3312956849541089231
RENDIMENTO;BRBCRICTF009;2021-09-30;2021-09-30;1.11000000000;Setembro/2021;2021-10-15;;10812207501196903385
RENDIMENTO;BRBCRICTF009;2021-08-31;2021-08-31;1.13000000000;Agosto/2021;2021-09-15;;2398941098555817119
RENDIMENTO;BRBCRICTF009;2021-07-30;2021-07-30;1.02000000000;Julho/2021;2021-08-16;;7622505226111232868
RENDIMENTO;BRBCRIR19M18;2021-07-30;2021-07-30;1.02000000000;Julho/2021;2021-08-16;;11789872821276157700
RENDIMENTO;BRBCRIR20M15;2021-07-30;2021-07-30;0.79000000000;Julho/2021;2021-08-16;;9792845923195850109
RENDIMENTO;BRBCRICTF009;2021-06-30;2021-06-30;1.31000000000;Junho/2021;2021-07-15;;12133528563169943873
RENDIMENTO;BRBCRIR19M18;2021-06-30;2021-06-30;0.56000000000;Junho/2021;2021-07-15;;15796566217524278165
RENDIMENTO;BRBNFSCTF000;2022-05-31;2022-05-31;1.42852009000;MAIO/2022;2022-06-14;;16674055823707839685
RENDIMENTO;BRBNFSCTF000;2022-04-29;2022-04-29;1.41723424000;ABRIL/2022;2022-05-13;;5248214773879549415
RENDIMENTO;BRBNFSCTF000;2022-03-31;2022-03-31;1.22441090000;MARÇO/2022;2022-04-14;;541678620024806124
RENDIMENTO;BRBNFSCTF000;2022-02-25;2022-02-25;1.24767133000;FEVEREIRO/2022;2022-03-15;;10281285758108544951
RENDIMENTO;BRBNFSCTF000;2022-01-31;2022-01-31;1.30550430000;JANEIRO/2022;2022-02-14;;2114790576900600729
RENDIMENTO;BRBNFSCTF000;2021-12-30;2021-12-30;1.27362336000;DEZEMBRO/2021;2022-01-14;;12875083730704964903
RENDIMENTO;BRBNFSCTF000;2021-11-30;2021-11-30;1.35735200000;NOVEMBRO/2021;2021-12-10;;12223789101082724435
RENDIMENTO;BRBNFSCTF000;2021-10-29;2021-10-29;1.26240856000;OUTUBRO/2021;2021-11-12;;13576853982842559685
RENDIMENTO;BRBNFSCTF000;2021-09-30;2021-09-30;1.01277204000;SETEMBRO/2021;2021-10-14;;9022273626180788812
RENDIMENTO;BRBNFSCTF000;2021-08-31;2021-08-31;1.13129703000;AGOSTO/2021;2021-09-15;;3118808530553506122
RENDIMENTO;BRBNFSCTF000;2021-07-30;2021-07-30;1.13317418200;JULHO/2021;2021-08-13;;11285097188252522598
RENDIMENTO;BRBNFSCTF000;2021-06-30;2021-06-30;1.02183412660;JUNHO/2021;2021-07-14;;6680612142959394269
RENDIMENTO;BRBPLCCTF007;2022-05-09;2022-05-10;12.23380669000;Abril/2022;2022-05-11;;17761547535490981240
RENDIMENTO;BRBPLCCTF007;2022-04-13;2022-04-13;12.51928644000;março/2022;2022-04-14;;11486927999297885056
RENDIMENTO;BRBBFICTF006;2022-05-31;2022-05-31;25.65068223000;Maio/2022;2022-06-15;;6893481960477704272
RENDIMENTO;BRBBFICTF006;2022-04-29;2022-04-29;23.91351092300;Abril/2022;2022-05-13;;17797951505051070101
RENDIMENTO;BRBBFICTF006;2022-03-31;2022-03-31;32.04520300000;Março/2022;2022-04-14;;8213723194557439483
RENDIMENTO;BRBBFICTF006;2022-02-25;2022-02-25;22.81219576900;Fevereiro/2022;2022-03-15;;34139024867133889
RENDIMENTO;BRBBFICTF006;2022-01-31;2022-01-31;24.01782653800;Janeiro/2022;2022-02-15;;17306998385401888918
RENDIMENTO;BRBBFICTF006;2021-12-30;2021-12-30;38.63672783800;Dezembro/2021;2022-01-14;;5368037463994996480
RENDIMENTO;BRBBFICTF006;2021-11-30;2021-11-30;25.85297146100;Novembro/2021;2021-12-15;;15171271609820842247
RENDIMENTO;BRBBFICTF006;2021-10-29;2021-10-29;26.28523923000;Outubro/2021;2021-11-12;;10714408375467693501
RENDIMENTO;BRBBFICTF006;2021-09-30;2021-09-30;27.38676923000;Setembro/2021;2021-10-15;;13268905125905415969
RENDIMENTO;BRBBFICTF006;2021-08-31;2021-08-31;26.65460953800;Agosto/2021;2021-09-15;;9670324850233906970
RENDIMENTO;BRBBFICTF006;2021-07-30;2021-07-30;26.57221484600;Julho/2021;2021-08-13;;15071234438369319165
RENDIMENTO;BRBBFICTF006;2021-06-30;2021-06-30;19.02834615300;Junho/2021;2021-07-15;;15276080074065714431
RENDIMENTO;BRBBFOCTF004;2022-05-31;2022-05-31;0.83000000000;MAI/22/2022;2022-06-14;;14014295171541155412
RENDIMENTO;BRBBFOCTF004;2022-04-29;2022-04-29;0.77000000000;ABR/22/2022;2022-05-13;;10489966710419156321
RENDIMENTO;BRBBFOCTF004;2022-03-31;2022-03-31;0.72000000000;MAR/22/2022;2022-04-14;;3589254731108799133
RENDIMENTO;BRBBFOCTF004;2022-02-25;2022-02-25;0.74000000000;FEV/22/2022;2022-03-15;;4101646499474995342
RENDIMENTO;BRBBFOCTF004;2022-01-31;2022-01-31;0.81000000000;JAN/22/2022;2022-02-14;;6221329512782393710
RENDIMENTO;BRBBFOCTF004;2021-12-30;2021-12-30;0.68000000000;DEZ/21/2021;2022-01-14;;7705994089893543303
RENDIMENTO;BRBBFOCTF004;2021-11-30;2021-11-30;0.67000000000;NOV/21/2021;2021-12-14;;13884211052993239909
RENDIMENTO;BRBBFOCTF004;2021-10-29;2021-10-29;0.62000000000;OUT/21/2021;2021-11-16;;16147864221345865190
RENDIMENTO;BRBBFOCTF004;2021-09-30;2021-09-30;0.60000000000;SET/21/2021;2021-10-15;;18326749231511000886
RENDIMENTO;BRBBFOCTF004;2021-08-31;2021-08-31;0.57000000000;AGO/21/2021;2021-09-15;;16702973463539179615
RENDIMENTO;BRBBFOCTF004;2021-07-30;2021-07-30;0.62000000000;JUL/21/2021;2021-08-13;;7529213962948388183
RENDIMENTO;BRBBFOCTF004;2021-06-30;2021-06-30;0.54000000000;JUN/2021/2021;2021-07-15;;5076283012626439930
RENDIMENTO;BRBBPOCTF003;2022-05-31;2022-05-31;0.89000000000;Maio/2022;2022-06-14;;10760446133319687104
RENDIMENTO;BRBBPOCTF003;2022-04-29;2022-04-29;0.89000000000;Abril/2022;2022-05-13;;12285871269373454554
RENDIMENTO;BRBBPOCTF003;2022-03-31;2022-03-31;0.89000000000;Março/2022;2022-04-14;;2323539684839511161
RENDIMENTO;BRBBPOCTF003;2022-02-25;2022-02-25;0.89000000000;Fevereiro/2022;2022-03-15;;14516279207553951957
RENDIMENTO;BRBBPOCTF003;2022-01-31;2022-01-31;0.89000000000;janeiro/2022;2022-02-14;;11437654452430275435
RENDIMENTO;BRBBPOCTF003;2021-12-30;2021-12-30;0.90000000000;dezembro/2021;2022-01-14;;16090788479962372035
RENDIMENTO;BRBBPOCTF003;2021-11-30;2021-11-30;0.87000000000;Novembro/2021;2021-12-14;;11162748501509126819
RENDIMENTO;BRBBPOCTF003;2021-10-29;2021-10-29;0.87000000000;outubro/2021;2021-11-16;;14211074719777553635
RENDIMENTO;BRBBPOCTF003;2021-09-30;2021-09-30;0.82000000000;setembro/2021;2021-10-15;;8140406767683594053
RENDIMENTO;BRBBPOCTF003;2021-08-31;2021-08-31;0.82000000000;agosto/2021;2021-09-15;;7475754739525959781
RENDIMENTO;BRBBPOCTF003;2021-07-30;2021-07-30;1.08232990000;julho/2021;2021-08-13;;16972084365746387200
RENDIMENTO;BRBBPOCTF003;2021-06-30;2021-06-30;1.08232990000;junho/2021;2021-07-15;;9718014148025151065
RENDIMENTO;BRBBIMCTF002;2022-05-31;2022-05-31;0.25000000000;MAI/2022/2022;2022-06-14;;6156425926761581315
RENDIMENTO;BRBBIMCTF002;2022-04-29;2022-04-29;0.25000000000;ABR/2022/2022;2022-05-13;;7951341519496561405
RENDIMENTO;BRBBIMCTF002;2022-03-31;2022-03-31;0.25000000000;MAR/2022/2022;2022-04-14;;8710400582013693656
RENDIMENTO;BRBBIMCTF002;2022-02-25;2022-02-25;0.32000000000;FEV/2022/2022;2022-03-15;;6378920040349321309
RENDIMENTO;BRBBIMCTF002;2022-01-31;2022-01-31;0.30000000000;JAN/2022/2022;2022-02-14;;2391185915583761077
RENDIMENTO;BRBBIMCTF002;2021-12-30;2021-12-30;0.90000000000;DEZ/2021/2021;2022-01-14;;13931866064633641748
RENDIMENTO;BRBBIMCTF002;2021-11-30;2021-11-30;1.50000000000;NOV/2021/2021;2021-12-14;;16884508971250979281
RENDIMENTO;BRBBIMCTF002;2021-10-29;2021-10-29;0.90000000000;SET/2021/2021;2021-11-16;;13106726983774908180
RENDIMENTO;BRBBIMCTF002;2021-09-30;2021-09-30;0.70000000000;SET/2021/2021;2021-10-15;;7517315217296470429
RENDIMENTO;BRBBIMCTF002;2021-08-31;2021-08-31;0.50000000000;AGO/2021/2021;2021-09-15;;17101966103489142246
AMORTIZACAO RF;BRBBIMCTF002;2021-08-31;2021-08-31;12.21002415000;SET/2021/2021;2021-09-27;;3650583308820897565
RENDIMENTO;BRBBIMCTF002;2021-07-30;2021-07-30;0.30000000000;JUL/2021/2021;2021-08-13;;3389331398471334117
RENDIMENTO;BRBBIMCTF002;2021-06-30;2021-06-30;0.80000000000;JUN/2021/2021;2021-07-15;;1169536925929881901
RENDIMENTO;BRBBRCCTF004;2022-05-31;2022-05-31;0.97000000000;Maio/2022;2022-06-14;;9340460643747151113
RENDIMENTO;BRBBRCCTF004;2022-04-29;2022-04-29;0.94000000000;ABRIL/2022;2022-05-13;;12904781427981746603
RENDIMENTO;BRBBRCCTF004;2022-03-31;2022-03-31;0.94000000000;Março/2022;2022-04-14;;1651973522177949429
RENDIMENTO;BRBBRCCTF004;2022-02-25;2022-02-25;0.92000000000;Fevereiro/2022;2022-03-15;;15624780267870715078
RENDIMENTO;BRBBRCCTF004;2022-01-31;2022-01-31;0.90000000000;Janeiro/2022;2022-02-14;;5273085456554994081
RENDIMENTO;BRBBRCCTF004;2021-12-30;2021-12-30;0.92000000000;dezembro/2021;2022-01-14;;1347954331706480928
RENDIMENTO;BRBBRCCTF004;2021-11-30;2021-11-30;0.92000000000;Novembro/2021;2021-12-14;;4105588144846214947
RENDIMENTO;BRBBRCCTF004;2021-10-29;2021-10-29;0.92000000000;outubro/2021;2021-11-16;;18347446108089401891
RENDIMENTO;BRBBRCCTF004;2021-09-30;2021-09-30;0.85000000000;setembro/2021;2021-10-15;;14892905917999293113
RENDIMENTO;BRBBRCCTF004;2021-08-31;2021-08-31;0.85000000000;agosto/2021;2021-09-15;;5714690574571107945
RENDIMENTO;BRBBRCCTF004;2021-07-30;2021-07-30;0.85000000000;julho/2021;2021-08-13;;12889797249486197928
RENDIMENTO;BRBBRCCTF004;2021-07-30;2021-07-30;0.85000000000;julho/2021;2021-08-13;;16678417270528945036
RENDIMENTO;BRBBRCCTF004;2021-06-30;2021-06-30;0.85000000000;junho/2021;2021-07-15;;14677252293671458156
AMORTIZACAO RF;BRRDPDCTF008;2022-06-09;2022-06-09;2.38977727000;MAIO/2022;2022-06-17;;7642456235015109062
RENDIMENTO;BRRDPDCTF008;2022-05-31;2022-05-31;0.56000000000;Maio/2022;2022-06-14;;3055042858805970743
RENDIMENTO;BRRDPDCTF008;2022-04-29;2022-04-29;0.84000000000;Abril/2022;2022-05-13;;11423712625399395683
RENDIMENTO;BRRDPDCTF008;2022-03-31;2022-03-31;0.61000000000;Março/2022;2022-04-14;;1182960030007502079
RENDIMENTO;BRRDPDCTF008;2022-02-25;2022-02-25;0.60000000000;Fevereiro/2022;2022-03-15;;11064274190415916689
RENDIMENTO;BRRDPDCTF008;2022-01-31;2022-01-31;0.56000000000;janeiro/2022;2022-02-14;;1640268129870461985
RENDIMENTO;BRRDPDCTF008;2021-12-30;2021-12-30;0.47000000000;dezembro/2021;2022-01-14;;3255865190751033243
RENDIMENTO;BRRDPDCTF008;2021-11-30;2021-11-30;0.50000000000;novembro/2021;2021-12-14;;10450461521464247522
AMORTIZACAO RF;BRRDPDCTF008;2021-11-04;2021-11-05;10.20368409000;NOVEMBRO/2021;2021-12-10;;9182501970975122855
RENDIMENTO;BRRDPDCTF008;2021-10-29;2021-10-29;0.50000000000;outubro/2021;2021-11-16;;2521383731231379964
RENDIMENTO;BRRDPDCTF008;2021-09-30;2021-09-30;0.50000000000;setembro/2021;2021-10-15;;8621283441052453948
RENDIMENTO;BRRDPDCTF008;2021-08-31;2021-08-31;0.40000000000;agosto/2021;2021-09-15;;2010028385707001786
RENDIMENTO;BRRDPDCTF008;2021-07-30;2021-07-30;0.62000000000;julho/2021;2021-08-13;;18340022918105932982
RENDIMENTO;BRRDPDCTF008;2021-06-30;2021-06-30;0.70000000000;junho/2021;2021-07-15;;15982624065215019418
AMORTIZACAO RF;BRRNDPCTF007;2022-06-09;2022-06-09;86.15463719000;MAIO/2022;2022-06-17;;4548457840230159384
RENDIMENTO;BRRNDPCTF007;2022-05-31;2022-05-31;3.74000000000;Maio/2022;2022-06-14;;15784986469734992419
RENDIMENTO;BRRNDPCTF007;2022-04-29;2022-04-29;4.26000000000;Abril/2022;2022-05-13;;5959774265754778657
RENDIMENTO;BRRNDPCTF007;2022-03-31;2022-03-31;4.76000000000;Março/2022;2022-04-14;;17787633618403826534
AMORTIZACAO RF;BRRNDPCTF007;2022-03-23;2022-03-23;200.00000000000;Março/2022;2022-04-07;;7968471701164912045
RENDIMENTO;BRRNDPCTF007;2022-02-25;2022-02-25;3.29000000000;Fevereiro/2022;2022-03-15;;17862168854876830791
RENDIMENTO;BRRNDPCTF007;2022-01-31;2022-01-31;4.00000000000;janeiro/2022;2022-02-14;;12447301570154645469
RENDIMENTO;BRRNDPCTF007;2021-12-30;2021-12-30;4.00000000000;dezembro/2021;2022-01-14;;8321923331610072113
RENDIMENTO;BRRNDPCTF007;2021-11-30;2021-11-30;4.50000000000;novembro/2021;2021-12-14;;13828693731161319191
RENDIMENTO;BRRNDPCTF007;2021-10-29;2021-10-29;4.65000000000;outubro/2021;2021-11-16;;7292538352166884779
AMORTIZACAO RF;BRRNDPCTF007;2021-10-11;2021-10-14;65.12779003000;OUTUBRO/2021;2021-10-21;;14059994756930790545
RENDIMENTO;BRRNDPCTF007;2021-09-30;2021-09-30;2.00000000000;setembro/2021;2021-10-15;;3204679131978101000
RENDIMENTO;BRRNDPCTF007;2021-08-31;2021-08-31;4.80000000000;agosto/2021;2021-09-15;;12027508346379423071
RENDIMENTO;BRRNDPCTF007;2021-07-30;2021-07-30;4.80000000000;julho/2021;2021-08-13;;606967126500501301
RENDIMENTO;BRRNDPCTF007;2021-06-30;2021-06-30;4.26000000000;junho/2021;2021-07-15;;8631169871353052810
RENDIMENTO;BRBLCPCTF007;2022-06-13;2022-06-13;0.50000000000;Maio/2022;2022-06-21;;11408471776365538046
RENDIMENTO;BRBLCPCTF007;2022-05-12;2022-05-12;0.50261181300;Abril/2022;2022-05-19;;8157625276999743160
RENDIMENTO;BRBLCPCTF007;2022-04-13;2022-04-13;0.51000000000;Março/2022;2022-04-22;;9721134144325059041
RENDIMENTO;BRBLCPCTF007;2022-03-14;2022-03-14;0.50776333200;Fevereiro/2022;2022-03-21;;5317526120745081262
RENDIMENTO;BRBLCPCTF007;2022-02-11;2022-02-11;0.51000000000;Janeiro/2022;2022-02-18;;2927602773523923026
RENDIMENTO;BRBLCPCTF007;2022-01-13;2022-01-13;0.52000000000;Dezembro/2021;2022-01-20;;14224807568204734104
RENDIMENTO;BRBLCPCTF007;2021-12-13;2021-12-13;0.50476289000;Novembro/2021;2021-12-20;;14472944075517526233
RENDIMENTO;BRBLCPCTF007;2021-11-12;2021-11-12;0.04245711900;Outubro/2021;2021-11-22;;17604034298552952748
RENDIMENTO;BRBLCPR06M10;2021-11-12;2021-11-12;0.58303904900;Outubro/2021;2021-11-22;;2294094820788777588
RENDIMENTO;BRBLCPR07M19;2021-11-12;2021-11-12;0.16829837600;Outubro/2021;2021-11-22;;9067205322379643815
RENDIMENTO;BRBLCPCTF007;2021-10-14;2021-10-14;0.40358148000;Setembro/2021;2021-10-21;;16907483517898992382
RENDIMENTO;BRBLCPCTF007;2021-09-14;2021-09-14;0.53176613300;Agosto/2021;2021-09-21;;1352131054169703791
RENDIMENTO;BRBLCPCTF007;2021-08-12;2021-08-12;0.57000000000;Julho/2021;2021-08-19;;13826845664005631587
RENDIMENTO;BRBLCPCTF007;2021-07-14;2021-07-14;0.62554386600;Junho/2021;2021-07-21;;9849483914060810268
RENDIMENTO;BRBLCACTF009;2022-06-08;2022-06-08;0.50500000000;Abril/2022;2022-06-15;;16596416621810335686
RENDIMENTO;BRBLCACTF009;2022-05-09;2022-05-09;0.50500000000;Março/2022;2022-05-16;;16729864781361421858
